T,Sd_m,Sa_pseudo_mps2,Sa_pseudo_g,Sa_actual_mps2,Sa_actual_g
0.200000,0.007257,7.162497,0.730371,7.145767,0.728665
0.300000,0.028170,12.356591,1.260022,12.353374,1.259694
0.400000,0.027282,6.731577,0.686430,6.778040,0.691168
0.500000,0.039782,6.282044,0.640590,6.312427,0.643688
0.600000,0.045338,4.971820,0.506985,4.992340,0.509077
0.700000,0.063803,5.140476,0.524183,5.166218,0.526808
0.800000,0.075266,4.642794,0.473433,4.664283,0.475625
0.900000,0.102992,5.019705,0.511867,5.037217,0.513653
1.000000,0.146109,5.768171,0.588190,5.796520,0.591081
1.100000,0.171400,5.592228,0.570249,5.616761,0.572750
1.200000,0.233916,6.412950,0.653939,6.441417,0.656842
1.300000,0.263441,6.153974,0.627531,6.184257,0.630619
1.400000,0.259901,5.234930,0.533814,5.263048,0.536682
1.500000,0.237412,4.165618,0.424775,4.191395,0.427403
1.600000,0.214159,3.302600,0.336771,3.325983,0.339156
1.700000,0.224137,3.061795,0.312216,3.079609,0.314033
1.800000,0.309407,3.770026,0.384436,3.789387,0.386410
1.900000,0.407605,4.457510,0.454540,4.482040,0.457041
2.000000,0.415125,4.097118,0.417790,4.121449,0.420271
2.100000,0.358148,3.206148,0.326936,3.226197,0.328981
2.200000,0.350851,2.861784,0.291821,2.880185,0.293697
2.300000,0.407321,3.039769,0.309970,3.059899,0.312023
2.400000,0.385798,2.644218,0.269635,2.660819,0.271328
2.500000,0.336640,2.126405,0.216833,2.134542,0.217663
2.600000,0.358867,2.095784,0.213710,2.108439,0.215001
2.700000,0.369334,2.000099,0.203953,2.011617,0.205128
2.800000,0.368959,1.857898,0.189453,1.870111,0.190698
2.900000,0.375233,1.761428,0.179616,1.771621,0.180655
3.000000,0.363115,1.592802,0.162421,1.604713,0.163635
