T,Record_Elastic_5percent_g,TSC2007_475_Elastic_g,TSC2007_2475_Elastic_g,TBDY2018_DD2_475_Elastic_g,TBDY2018_DD1_2475_Elastic_g,Record_R4_g,TSC2007_475_R4_g,TSC2007_2475_R4_g,TBDY2018_DD2_R4_g,TBDY2018_DD1_R4_g,Record_R8_g,TSC2007_475_R8_g,TSC2007_2475_R8_g,TBDY2018_DD2_R8_g,TBDY2018_DD1_R8_g,Scale_2007_2475_to_475,TA_DD2_calc,TB_DD2_calc,TA_DD1_calc,TB_DD1_calc
0.200000,0.728665,1.000000,1.939791,0.764000,1.482000,0.182166,0.250000,0.484948,0.191000,0.370500,0.091083,0.125000,0.242474,0.095500,0.185250,1.939791,0.057592,0.287958,0.057490,0.287449
0.300000,1.259694,1.000000,1.939791,0.733333,1.420000,0.314924,0.250000,0.484948,0.183333,0.355000,0.157462,0.125000,0.242474,0.091667,0.177500,1.939791,0.057592,0.287958,0.057490,0.287449
0.400000,0.691168,1.000000,1.939791,0.550000,1.065000,0.172792,0.250000,0.484948,0.137500,0.266250,0.086396,0.125000,0.242474,0.068750,0.133125,1.939791,0.057592,0.287958,0.057490,0.287449
0.500000,0.643684,0.836512,1.622657,0.440000,0.852000,0.160921,0.209128,0.405664,0.110000,0.213000,0.080461,0.104564,0.202832,0.055000,0.106500,1.939791,0.057592,0.287958,0.057490,0.287449
0.600000,0.509077,0.722981,1.402432,0.366667,0.710000,0.127269,0.180745,0.350608,0.091667,0.177500,0.063635,0.090373,0.175304,0.045833,0.088750,1.939791,0.057592,0.287958,0.057490,0.287449
0.700000,0.526808,0.639101,1.239722,0.314286,0.608571,0.131702,0.159775,0.309931,0.078571,0.152143,0.065851,0.079888,0.154965,0.039286,0.076071,1.939791,0.057592,0.287958,0.057490,0.287449
0.800000,0.475624,0.574349,1.114117,0.275000,0.532500,0.118906,0.143587,0.278529,0.068750,0.133125,0.059453,0.071794,0.139265,0.034375,0.066562,1.939791,0.057592,0.287958,0.057490,0.287449
0.900000,0.513649,0.522702,1.013932,0.244444,0.473333,0.128412,0.130675,0.253483,0.061111,0.118333,0.064206,0.065338,0.126742,0.030556,0.059167,1.939791,0.057592,0.287958,0.057490,0.287449
1.000000,0.591081,0.480450,0.931972,0.220000,0.426000,0.147770,0.120112,0.232993,0.055000,0.106500,0.073885,0.060056,0.116496,0.027500,0.053250,1.939791,0.057592,0.287958,0.057490,0.287449
1.100000,0.572750,0.445178,0.863552,0.200000,0.387273,0.143187,0.111295,0.215888,0.050000,0.096818,0.071594,0.055647,0.107944,0.025000,0.048409,1.939791,0.057592,0.287958,0.057490,0.287449
